cm^(-1),4,4_2,122,27,27_2
6950.65363,0.0709,0.09847,0.06414,0.17598,0.1559
6950.17145,0.06879,0.09817,0.06283,0.17754,0.1572
6949.68926,0.06746,0.09876,0.06267,0.17921,0.15799
6949.20708,0.06737,0.10006,0.06328,0.1805,0.15805
6948.7249,0.06871,0.10152,0.0643,0.18101,0.1576
6948.24272,0.07117,0.10266,0.06559,0.1807,0.15707
6947.76054,0.07401,0.10325,0.06709,0.17995,0.15673
6947.27835,0.07635,0.10341,0.0686,0.17917,0.15649
6946.79617,0.07742,0.10337,0.06975,0.17844,0.15603
6946.31399,0.07692,0.1033,0.07012,0.17757,0.15513
6945.83181,0.07504,0.10322,0.06958,0.17643,0.15395
6945.34963,0.07244,0.10313,0.06842,0.17526,0.15288
6944.86744,0.06993,0.10303,0.06733,0.17445,0.15228
6944.38526,0.0681,0.10298,0.06701,0.17419,0.15217
6943.90308,0.06715,0.10316,0.06784,0.17427,0.15233
6943.4209,0.06697,0.10377,0.06963,0.17434,0.15249
6942.93872,0.06734,0.10485,0.07171,0.17429,0.15248
6942.45653,0.06803,0.10605,0.07319,0.17431,0.15224
6941.97435,0.06871,0.10664,0.07331,0.17448,0.15163
6941.49217,0.06892,0.10587,0.07171,0.17452,0.15052
6941.00999,0.06831,0.10346,0.0687,0.17385,0.14895
6940.52781,0.06692,0.09992,0.06513,0.17217,0.14733
6940.04562,0.06531,0.09637,0.06215,0.16987,0.14634
6939.56344,0.06431,0.094,0.06065,0.16788,0.14668
6939.08126,0.0645,0.09354,0.06095,0.16712,0.14857
6938.59908,0.06591,0.095,0.06277,0.16791,0.1516
6938.1169,0.06807,0.09783,0.0654,0.16996,0.15475
6937.63471,0.07028,0.10112,0.06805,0.17269,0.15687
6937.15253,0.07196,0.10397,0.07005,0.17551,0.15712
6936.67035,0.07274,0.10574,0.07106,0.17802,0.15538
6936.18817,0.07259,0.10637,0.07115,0.17993,0.1522
6935.70599,0.07171,0.10629,0.0708,0.18109,0.14858
6935.2238,0.07055,0.10606,0.07057,0.18152,0.14563
6934.74162,0.06959,0.10591,0.07072,0.18138,0.14416
6934.25944,0.06911,0.10564,0.07105,0.18077,0.14434
6933.77726,0.06908,0.10493,0.07115,0.17968,0.14572
6933.29508,0.06921,0.1039,0.07079,0.17805,0.14741
6932.81289,0.0692,0.10316,0.07011,0.17598,0.14862
6932.33071,0.06899,0.10344,0.06953,0.17387,0.14907
6931.84853,0.06876,0.10498,0.06935,0.17233,0.14896
6931.36635,0.06871,0.10726,0.06949,0.17175,0.14865
6930.88417,0.06883,0.10929,0.06957,0.17205,0.14829
6930.40198,0.06891,0.11038,0.06917,0.17271,0.14787
6929.9198,0.06879,0.11051,0.06823,0.17318,0.14755
6929.43762,0.06855,0.11019,0.06705,0.1734,0.14787
6928.95544,0.06847,0.1098,0.06618,0.17374,0.14944
6928.47326,0.06875,0.10915,0.066,0.1747,0.15235
6927.99107,0.06931,0.10767,0.06646,0.17629,0.15575
6927.50889,0.06989,0.10499,0.06717,0.17801,0.15818
6927.02671,0.07026,0.10155,0.06769,0.17912,0.1585
6926.54453,0.07039,0.09844,0.06798,0.17927,0.15671
6926.06235,0.07035,0.09676,0.06836,0.17865,0.15404
6925.58016,0.07018,0.0969,0.0692,0.17769,0.15199
6925.09798,0.06977,0.09828,0.07044,0.17658,0.15124
6924.6158,0.069,0.09978,0.0715,0.17506,0.15115
6924.13362,0.06792,0.1004,0.07157,0.17281,0.15038
6923.65144,0.06673,0.09979,0.07022,0.16985,0.14806
6923.16925,0.06563,0.09826,0.06769,0.16677,0.14451
6922.68707,0.06468,0.09644,0.06476,0.16439,0.14104
6922.20489,0.06374,0.09491,0.06236,0.16327,0.13907
6921.72271,0.06266,0.09403,0.0611,0.1634,0.13925
6921.24053,0.06147,0.09387,0.06104,0.16437,0.14124
